"EUPH code",Name,English,Definition,Parent
92,"Nosema apis","Nosema apis","The taxonomic species <i>Nosema apis</i> ",85
93,"Nosema ceranae","Nosema ceranae","The taxonomic species <i>Nosema ceranae</i> ",85
94,"Ascosphaera apis","Ascosphaera apis","The taxonomic species <i>Ascosphaera apis</i> ",85
95,"Aspergillus flavus","Aspergillus flavus","The taxonomic species <i>Aspergillus flavus</i> ",85
96,"Malpighamoeba mellificae","Malpighamoeba mellificae","<q>Amoebas infecting the Malpighian tubuiles of honey bees named [...] <i>Malpighamoeba</i> [...] <i>mellificae</i> [...].</q>",3273
97,pathogen,pathogen,"<q>An agent causing disease or illness to its host, such as an organism or infectious particle capable of producing a disease in another organism.</q>",125
98,virus,virus,"<q>A submicroscopic infectious agent that is unable to grow or reproduce outside a host cell. It is non-cellular but consisting of a core of DNA or RNA surrounded by a protein coat.</q>",97
99,"ABPV
","Acute Bee Paralysis Virus","Acute Bee Paralysis Virus",3274
100,"CBPV
","Chronic Bee Paralysis Virus","Chronic Bee Paralysis Virus",3274
101,"KBV
","Kashmir Bee Virus","Kashmir Bee Virus",3274
102,"IAPV
","Israeli Acute Paralysis Virus","Israeli Acute Paralysis Virus",3274
103,"BQCV
","Black Queen Cell Virus","Black Queen Cell Virus",3274
104,"DWV
","Deformed Wing Virus","> Deformed wing virus (DWV) is an RNA virus, one of 22 known viruses affecting honey bees. While most commonly infecting the honey bee, Apis mellifera, it has also been documented in other bee species, like Bombus terrestris,[...] thus, indicating it may have a wider host specificity than previously anticipated. The virus was first isolated from a sample of symptomatic honeybees from Japan in the early 1980s and is currently distributed worldwide. It is found also in pollen baskets and commercially reared bumblebees.[...] Its main vector in A. mellifera is the Varroa mite.[...] It is named after what is usually the most obvious deformity it induces in the development of a honeybee pupa, which is shrunken and deformed wings, but other developmental deformities are often present.",3274
105,"SBV
","sackbrood virus","Sackbrood Virus",3274
106,disease,disease,"‘disease’ means the occurrence of infections and infestations in animals, with or without clinical or pathological manifestations, caused by one or more disease agents;",125
107,"disease caused or transmitted by arthropods","disease caused or transmitted by arthropods","A disease caused or transmitted by an organism belonging to the taxonomic phylum Arthropoda.",106
108,"bacterial disease","bacterial disease","A disease caused or transmitted by an organism belonging to the taxonomic kingdom Bacteria.",106
109,"viral disease","viral disease","A disease caused or transmitted by a Virus.",106
110,"protozoan disease","protozoan disease","A disease caused or transmitted by an organism belonging to the taxonomic kingdom Protozoa.",106
111,"disease caused or transmitted by insects","disease caused or transmitted by insects","A disease caused or transmitted by an organism belonging to the taxonomic class Insecta.",107
112,"disease caused or transmitted by acari","disease caused or transmitted by acari","A disease caused or transmitted by an organism belonging to the taxonomic class Arachnida.",107
113,"Acarapisosis of honey bees","acarine disease;Isle of Wight disease","For the purposes of the Terrestrial Code, acarapisosis, also known as acarine disease or tracheal mite infestation, is an infestation of adult honey bees (species of the genus *Apis*), primarily *Apis mellifera* L. with the mite *Acarapis woodi*, an internal obligate parasite of the respiratory system which spreads by direct contact from adult honey bee to adult honey bee.",112;3341
114,"Varroosis of honey bees",varroosis,"> For the purposes of the Terrestrial Code, varroosis is a disease of honey bees (species of the genus *Apis*) caused by mites in the genus Varroa, primarily *Varroa destructor*. The mite is an ectoparasite of adults and brood of honey bees and spreads by direct contact from adult honey bee to adult honey bee, and by the movement of infested honey bees, bee brood, bee products and used apicultural equipment.",112;3341
115,"Tropilaelaps infestation of honey bees","Tropilaelaps infestation of honey bees","> For the purposes of the Terrestrial Code, *Tropilaelaps* infestation of honey bees (species of the genus *Apis*) is caused by different species of *Tropilaelaps* mites (including the mites *Tropilaelaps clareae*, *T. koenigerum*, *T. thaii* and *T. mercedesae*). The mite is an ectoparasite of brood of honey bees, and cannot survive for periods of more than 21 days away from bee brood.",112;3341
116,"Small hive beetle infestation (Aethina tumida)","Small hive beetle (Aethina tumida) infestation","> For the purposes of the Terrestrial Code, infestation with *Aethina tumida* (also known as small hive beetle) is an infestation of bee colonies (species of the genera *Apis* and *Bombus* and also stingless bees) by the beetle *A. tumida*, which is a free-living predator and scavenger affecting bee populations.",111;3341
117,"American foulbrood of honey bees (AFB)","american foulbrood","> For the purposes of the Terrestrial Code, American foulbrood is a disease of the larval and pupal stages of honey bees (species of the genus *Apis*) caused by *[Paenibacillus larvae](https://app.pollinatorhub.eu/vocabulary/classes/89)* (*P. larvae*), which is widely distributed. *P. larvae* is a bacterium that can produce over one billion spores in each infected larva. The spores are very long-living and extremely resistant to heat and chemical agents, and only the spores are capable of inducing the disease.",108;3341
118,"European foulbrood of honey bees (EFB)","European foulbrood","> For the purposes of the Terrestrial Code, European foulbrood is a disease of the larval and pupal stages of honey bees (species of the genus *Apis*), caused by *[Melissococcus plutonius](https://app.pollinatorhub.eu/vocabulary/classes/90)* (*M. plutonius*), a non-sporulating bacterium, which is widely distributed. Subclinical infections are common and require laboratory diagnosis. Infection remains enzootic because of mechanical contamination of the honeycombs. Recurrences of disease can therefore be expected in subsequent years.",108;3341
119,"Sacbrood disease of honey bees","sac brood;pickled brood","A disease of the larval stages of honey bees (*Apis mellifera*) caused by the Sacbrood Virus (SBV).",109;3341
120,"Chronic bee paralysis disease of honey bees","Chronic bee paralysis disease of honey bees","A disease of adult honey bees (*Apis mellifera*) caused by the Chronic Bee Paralysis Virus (CBPV).",109;3341
121,"Chalkbrood disease of honey bees","chalk brood","A disease of the larval and pupal stages of honey bees (*Apis mellifera*) caused by the fungus *Ascosphaera apis*.",70;3341
122,"Stonebrood disease of honey bees",stonebrood,"A disease of the larval and pupal stages of honey bees (*Apis mellifera*) caused by the fungus *Aspergillus flavus*.",70;3341
123,"Nosemosis of honey bees","Nosema disease","A disease of adult [honey bees](https://app.pollinatorhub.eu/vocabulary/classes/19) (*Apis mellifera*) caused by different species of the genus *Nosema* (*[Nosema apis](https://app.pollinatorhub.eu/vocabulary/classes/92)* and *[Nosema ceranae](https://app.pollinatorhub.eu/vocabulary/classes/93)*).",70;3341
124,"amoeba disease of honey bees","amoeba disease","A disease of adult [honey bees](https://app.pollinatorhub.eu/vocabulary/classes/19) (*Apis mellifera*) caused by *[Malpighamoeba mellificae](https://app.pollinatorhub.eu/vocabulary/classes/96)*.",110;3341
125,"veterinary medicine","veterinary medicine","> The branch of medicine dealing with the prevention and treatment of diseases and injuriess in animals, esp. domestic animals",3359
126,beekeeping,beekeeping,"The intentional tending of insects of the genus *Apis* (in particular *Apis mellifera* and *Apis cerana*) in artificial nests by humans (*Homo sapiens*).",3266
127,attribute,attribute,"An expression used to define other expressions in more detail.",7751
128,Apis,Apis,"The taxonomic genus <i>Apis</i> Linnaeus, 1758",2961
129,Country,country,"A term from the [Darwin Core standard](https://dwc.tdwg.org/list/#dc_type):

> The name of the country or major administrative unit in which the [dcterms:Location](https://app.pollinatorhub.eu/vocabulary/classes/7367) occurs. ",960;7367
130,Antarctica,Antarctica,"Antarctica (ISO 3166 alpha-3 country code ATA)",129
131,Bulgaria,Bulgaria,"The Republic of Bulgaria (ISO 3166 alpha-3 country code BGR)",129
132,Myanmar,Myanmar,"The Republic of The Union of Myanmar (ISO 3166 alpha-3 country code MMR)",129
133,Burundi,Burundi,"The Republic of Burundi (ISO 3166 alpha-3 country code BDI)",129
134,Belarus,Belarus,"The Republic of Belarus (ISO 3166 alpha-3 country code BLR)",129
135,Cambodia,Cambodia,"The Kingdom of Cambodia (ISO 3166 alpha-3 country code KHM)",129
136,Algeria,Algeria,"The People's Democratic Republic of Algeria (ISO 3166 alpha-3 country code DZA)",129
137,Cameroon,Cameroon,"The Republic of Cameroon (ISO 3166 alpha-3 country code CMR)",129
138,Canada,Canada,"The country Canada (ISO 3166 alpha-3 country code CAN)",129
139,"Cabo Verde","Cabo Verde","The Republic of Cabo Verde (ISO 3166 alpha-3 country code CPV)",129
140,"Cayman Islands (the)","Cayman Islands","The Cayman Islands (ISO 3166 alpha-3 country code CYM)",129
141,"Central African Republic (the)","Central African Republic","The Central African Republic (ISO 3166 alpha-3 country code CAF)",129
142,"Sri Lanka","Sri Lanka","The Democratic Socialist Republic of Sri Lanka (ISO 3166 alpha-3 country code LKA)",129
143,Chad,Chad,"The Republic of Chad (ISO 3166 alpha-3 country code TCD)",129
144,Chile,Chile,"The Republic of Chile (ISO 3166 alpha-3 country code CHL)",129
145,China,China,"The People's Republic of China (ISO 3166 alpha-3 country code CHN)",129
146,"Taiwan (Province of China)",Taiwan,"The country Taiwan (ISO 3166 alpha-3 country code TWN)",129
147,"American Samoa","American Samoa","The country American Samoa (ISO 3166 alpha-3 country code ASM)",129
148,"Christmas Island","Christmas Island","The Christmas Island (ISO 3166 alpha-3 country code CXR)",129
149,"Cocos (Keeling) Islands (the)","Cocos Islands;Keeling Islands","The Cocos (Keeling) Islands (ISO 3166 alpha-3 country code CCK)",129
150,Colombia,Colombia,"The Republic of Colombia (ISO 3166 alpha-3 country code COL)",129
151,"Comoros (the)",Comoros,"The Union of The Comoros (ISO 3166 alpha-3 country code COM)",129
152,Mayotte,Mayotte,"The country Mayotte (ISO 3166 alpha-3 country code MYT)",129
153,"Congo (the)",Congo,"The Republic of The Congo (ISO 3166 alpha-3 country code COG)",129
154,"Congo (the Democratic Republic of the)",Congo,"The Democratic Republic of The Congo (ISO 3166 alpha-3 country code COD)",129
155,Afghanistan,Afghanistan,"The Islamic Republic of Afghanistan (ISO 3166 alpha-3 country code AFG)",129
156,"Åland Islands","Åland Islands","th Åland Islands (ISO 3166 alpha-3 country code ALA)",129
157,Albania,Albania,"The Republic of Albania (ISO 3166 alpha-3 country code ALB)",129
158,Andorra,Andorra,"The Principality of Andorra (ISO 3166 alpha-3 country code AND)",129
159,Angola,Angola,"The Republic of Angola (ISO 3166 alpha-3 country code AGO)",129
160,Anguilla,Anguilla,"The country Anguilla (ISO 3166 alpha-3 country code AIA)",129
161,"Antigua and Barbuda","Antigua and Barbuda","The country Antigua and Barbuda (ISO 3166 alpha-3 country code ATG)",129
162,Argentina,Argentina,"The Argentine Republic (ISO 3166 alpha-3 country code ARG)",129
163,Armenia,Armenia,"The Republic of Armenia (ISO 3166 alpha-3 country code ARM)",129
164,Aruba,winter,"The country Aruba (ISO 3166 alpha-3 country code ABW)",129
165,"Ascension Island","Ascension Island","The Ascension Island (Exceptionally reserved ISO 3166 alpha-3 country code ASC), reserved at The request of Universal Postal Union (UPU).",129
166,Australia,Australia,"The country Australia (ISO 3166 alpha-3 country code AUS)",129
167,Austria,Austria,"The Republic of Austria (ISO 3166 alpha-3 country code AUT)",129
168,Azerbaijan,Azerbaijan,"The Republic of Azerbaijan (ISO 3166 alpha-3 country code AZE)",129
169,"Bahamas (the)",Bahamas,"The Commonwealth of The Bahamas (ISO 3166 alpha-3 country code BHS)",129
170,Bahrain,Bahrain,"The Kingdom of Bahrain (ISO 3166 alpha-3 country code BHR)",129
171,Bangladesh,Bangladesh,"The People's Republic of Bangladesh (ISO 3166 alpha-3 country code BGD)",129
172,Barbados,Barbados,"The country Barbados (ISO 3166 alpha-3 country code BRB)",129
173,Belgium,Belgium,"The Kingdom of Belgium (ISO 3166 alpha-3 country code BEL)",129
174,Belize,Belize,"The country Belize (ISO 3166 alpha-3 country code BLZ)",129
175,Benin,Benin,"The Republic of Benin (ISO 3166 alpha-3 country code BEN)",129
176,Bermuda,Bermuda,"The country Bermuda (ISO 3166 alpha-3 country code BMU)",129
177,Bhutan,Bhutan,"The Kingdom of Bhutan (ISO 3166 alpha-3 country code BTN)",129
178,"Bolivia (Plurinational State of)",Bolivia,"The Plurinational State of Bolivia (ISO 3166 alpha-3 country code BOL)",129
179,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","The country Bonaire, Sint Eustatius and Saba (ISO 3166 alpha-3 country code BES)",129
180,"Bosnia and Herzegovina","Bosnia and Herzegovina","The country Bosnia and Herzegovina (ISO 3166 alpha-3 country code BIH)",129
181,Botswana,Botswana,"The Republic of Botswana (ISO 3166 alpha-3 country code BWA)",129
182,"Bouvet Island","Bouvet Island","teh Bouvet Island (ISO 3166 alpha-3 country code BVT)",129
183,Brazil,Brazil,"The Federative Republic of Brazil (ISO 3166 alpha-3 country code BRA)",129
184,"British Antarctic Territory","British Antarctic Territory","The former British Antarctic Territory (ISO 3166 alpha-3 country code ATB), which is now part of The entry Antarctica (ISO 3166 alpha-3 country code ATA)",129
185,"British Indian Ocean Territory (the)","British Indian Ocean Territory","The British Indian Ocean Territory (ISO 3166 alpha-3 country code IOT)",129
186,"Brunei Darussalam","Brunei Darussalam","The country Brunei Darussalam (ISO 3166 alpha-3 country code BRN)",129
187,"Burkina Faso","Burkina Faso","The country Burkina Faso (ISO 3166 alpha-3 country code BFA)",129
188,Burma,Burma,"The former country Burma (ISO 3166 alpha-3 country code BUR), which changed its name to Myanmar (ISO 3166 alpha-3 country code MMR). ",129
189,"Byelorussian SSR","Byelorussian SSR","The former Byelorussian SSR (ISO 3166 alpha-3 country code BYS), which changed its nname to Belaris (ISO 3166 alpha-3 country code BLR)",129
190,"Canary Islands","Canary Islands","The Canary Islands, which have no ISO 3166 alpha-3 country code. Its exceptionally reserved ISO 3166 alpha-3 country code IF was reserved at The request of World Customs Organization (WCO).",129
191,"Canton and Enderbury Islands","Canton and Enderbury Islands","The former Canton and Enderbury Islands (ISO 3166 alpha-3 country code CTE), which is now part of Kiribati (ISO 3166 alpha-3 country code KIR)",129
192,"Ceuta, Melilla","Ceuta, Melilla","The Spanisch exclaves Ceuta and Melilla. It has no ISO 3166 alpha-3 country code. The exceptionally reserved ISO 3166 alpha-3 country code is EA and was reserved at The request of World Customs Organization (WCO). ",129
193,"Clipperton Island","Clipperton Island","The Clipperton Island (Exceptionally reserved ISO 3166 alpha-3 country code CPT), reserved at The request of International Telecommunication Union (ITU).",129
194,"Cook Islands (the)","Cook Islands","The Cook Islands (ISO 3166 alpha-3 country code COK)",129
195,"Costa Rica","Costa Rica","The Republic of Costa Rica (ISO 3166 alpha-3 country code CRI)",129
196,"Côte d'Ivoire","Côte d'Ivoire","The Republic of Côte d'Ivoire (ISO 3166 alpha-3 country code CIV)",129
197,Croatia,Croatia,"The Republic of Croatia (ISO 3166 alpha-3 country code HRV)",129
198,Cuba,Cuba,"The Republic of Cuba (ISO 3166 alpha-3 country code CUB)",129
199,Curaçao,Curaçao,"The country Curaçao (ISO 3166 alpha-3 country code CUW)",129
200,Cyprus,Cyprus,"The Republic of Cyprus (ISO 3166 alpha-3 country code CYP)",129
201,Czechia,Czechia,"The Czech Republic (ISO 3166 alpha-3 country code CZE)",129
202,Czechoslovakia,Czechoslovakia,"The former country Czechoslovakia (ISO 3166 alpha-3 country code CSK), which was divided into Czechia (ISO 3166 alpha-3 country code CZE), and Slovakia (ISO 3166 alpha-3 country code SVK).",129
203,Dahomey,Dahomey,"The former country Dahomey (ISO 3166 alpha-3 country code DHY), which changed its name to Benin (ISO 3166 alpha-3 country code BEN).",129
204,Denmark,Denmark,"The Kingdom of Denmark (ISO 3166 alpha-3 country code DNK)",129
205,"Diego Garcia","Diego Garcia","The country Diego Garcia (Exceptionally reserved ISO 3166 alpha-3 country code DGA), reserved at The request of International Telecommunication Union (ITU) ",129
206,Djibouti,Djibouti,"The Republic of Djibouti (ISO 3166 alpha-3 country code DJI)",129
207,Dominica,Dominica,"The Commonwealth of Dominica (ISO 3166 alpha-3 country code DMA)",129
208,"Dominican Republic (the)","Dominican Republic","The Dominican Republic (ISO 3166 alpha-3 country code DOM)",129
209,"Dronning Maud Land","Dronning Maud Land","The former Dronning Maud Land (ISO 3166 alpha-3 country code ATN), now part of Antarctica (ISO 3166 alpha-3 country code ATA).",129
210,"East Timor","East Timor","The country East Timor (ISO 3166 alpha-3 country code TMP), which changed its name to Timor-Leste (ISO 3166 alpha-3 country code TLS).",129
211,Ecuador,Ecuador,"The Republic of Ecuador (ISO 3166 alpha-3 country code ECU)",129
